date,coinbase_close,binance_close,premium_pct
2020-01-01,7174.33,7200.85,-0.36828985466994085
2020-01-02,6945.02,6965.71,-0.29702643377343585
2020-01-03,7334.45,7344.96,-0.14309131703916997
2020-01-04,7348.63,7354.11,-0.07451615491200925
2020-01-05,7355.4,7358.75,-0.045524036011555816
2020-01-06,7764.63,7758.0,0.0854601701469465
2020-01-07,8158.52,8145.28,0.16254812603128058
2020-01-08,8045.51,8055.98,-0.129965565952241
2020-01-09,7813.78,7817.76,-0.05090972350136705
2020-01-10,8198.09,8197.02,0.013053524329569879
2020-01-11,8020.0,8020.01,-0.00012468812383299122
2020-01-12,8180.81,8184.98,-0.050946978489857804
2020-01-13,8104.5,8110.34,-0.07200684558230784
2020-01-14,8815.69,8810.01,0.06447211751178819
2020-01-15,8808.81,8821.41,-0.1428343088009781
2020-01-16,8714.76,8720.01,-0.06020635297436586
2020-01-17,8899.42,8913.28,-0.1554983126301494
2020-01-18,8909.32,8915.96,-0.07447319189408004
2020-01-19,8697.53,8701.7,-0.047921670478183256
2020-01-20,8628.89,8642.35,-0.1557446759272761
2020-01-21,8722.03,8736.03,-0.16025585992722094
2020-01-22,8660.38,8682.36,-0.25315697575315216
2020-01-23,8385.22,8404.52,-0.22963833746604315
2020-01-24,8427.26,8439.0,-0.1391160090058038
2020-01-25,8326.81,8340.58,-0.16509643214261402
2020-01-26,8595.0,8615.0,-0.2321532211259431
2020-01-27,8895.96,8907.57,-0.1303385771877244
2020-01-28,9394.5,9374.21,0.21644490575740116
2020-01-29,9288.44,9301.53,-0.14072953589355885
2020-01-30,9503.08,9513.21,-0.10648351082336246
2020-01-31,9334.98,9352.89,-0.19149161382203636
2020-02-01,9380.18,9384.61,-0.04720494511759456
2020-02-02,9323.5,9331.51,-0.08583819767647699
2020-02-03,9280.49,9292.24,-0.12644959665269084
2020-02-04,9164.33,9197.02,-0.3554412190035523
2020-02-05,9613.82,9612.04,0.01851844145466348
2020-02-06,9763.01,9772.0,-0.09199754400327242
2020-02-07,9808.05,9813.73,-0.05787809528079834
2020-02-08,9905.64,9895.05,0.10702320857398544
2020-02-09,10168.35,10151.75,0.16351860516660047
2020-02-10,9851.78,9851.83,-0.00050751992268718
2020-02-11,10270.01,10223.08,0.4590593050235378
2020-02-12,10351.13,10326.46,0.2389008430769119
2020-02-13,10236.49,10229.63,0.06706009894786598
2020-02-14,10371.33,10344.36,0.26072178462465867
2020-02-15,9911.22,9904.72,0.06562527764540543
